序号,时间节点,年代分类,年代名称,事件描述,图片说明,原始图片URL,本地图片路径,本地文件名
58,1950年,founding,建国初期,毛泽东在全国政协一届二次会议上,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610564089129.jpg,images/node_058_1950.jpg,node_058_1950.jpg
59,1950年9月,founding,建国初期,毛泽东、周恩来等会见 第一次全国高等教育会议的代表,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610565343725.jpg,images/node_059_19509.jpg,node_059_19509.jpg
60,1951年,founding,建国初期,毛泽东和孩子们在香山,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610571377298.jpg,images/node_060_1951.jpg,node_060_1951.jpg
61,1953年,founding,建国初期,毛泽东和朱德接见中国工会七大代表,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610572521807.jpg,images/node_061_1953.jpg,node_061_1953.jpg
62,1953年,founding,建国初期,毛泽东参观中央美术学院画展,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610574137884.jpg,images/node_062_1953.jpg,node_062_1953.jpg
63,1953年,founding,建国初期,毛泽东和周恩来 在中央人民政府委员会会议上,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610575418938.jpg,images/node_063_1953.jpg,node_063_1953.jpg
64,1953年,founding,建国初期,毛泽东视察人民海军东海舰队 左一为罗瑞卿,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610583598860.jpg,images/node_064_1953.jpg,node_064_1953.jpg
65,1954年,founding,建国初期,在毛泽东主持下 中华人民共和国宪法草案的起草工作正式开始 这是毛泽东在修改宪法草案,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610585136427.jpg,images/node_065_1954.jpg,node_065_1954.jpg
66,1954年,founding,建国初期,毛泽东在西子湖畔,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610591179179.jpg,images/node_066_1954.jpg,node_066_1954.jpg
67,1954年,founding,建国初期,毛泽东在故宫观赏汉代陶马,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611081761864.jpg,images/node_067_1954.jpg,node_067_1954.jpg
68,1954年,founding,建国初期,毛泽东在故宫城墙上远眺,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122611083579398.jpg,images/node_068_1954.jpg,node_068_1954.jpg
